threshold,Accuracy,F1,AUC,APCER,BPCER,ACER,TN,FP,FN,TP
0.16,0.7808564231738035,0.8087912087912088,0.9590531519135708,0.010752688172043012,0.4028436018957346,0.2067981450338888,126,85,2,184
0.17,0.7884130982367759,0.8141592920353983,0.9590531519135708,0.010752688172043012,0.3886255924170616,0.19968914029455231,129,82,2,184
0.18,0.8060453400503779,0.8269662921348314,0.9590531519135708,0.010752688172043012,0.35545023696682465,0.18310146256943383,136,75,2,184
0.19,0.8085642317380353,0.8288288288288288,0.9590531519135708,0.010752688172043012,0.35071090047393366,0.18073179432298833,137,74,2,184
0.2,0.8261964735516373,0.8421052631578947,0.9590531519135708,0.010752688172043012,0.3175355450236967,0.16414411659786984,144,67,2,184
0.21,0.8337531486146096,0.847926267281106,0.9590531519135708,0.010752688172043012,0.3033175355450237,0.15703511185853336,147,64,2,184
0.22,0.836272040302267,0.8498845265588915,0.9590531519135708,0.010752688172043012,0.2985781990521327,0.15466544361208784,148,63,2,184
0.23,0.8488664987405542,0.8598130841121495,0.9590531519135708,0.010752688172043012,0.27488151658767773,0.14281710237986037,153,58,2,184
0.24,0.8639798488664987,0.8720379146919431,0.9590531519135708,0.010752688172043012,0.24644549763033174,0.12859909290118737,159,52,2,184
0.25,0.8639798488664987,0.8720379146919431,0.9590531519135708,0.010752688172043012,0.24644549763033174,0.12859909290118737,159,52,2,184
0.26,0.8664987405541562,0.8729016786570744,0.9590531519135708,0.021505376344086023,0.23222748815165878,0.1268664322478724,162,49,4,182
0.27,0.8639798488664987,0.8695652173913043,0.9590531519135708,0.03225806451612903,0.22748815165876776,0.1298731080874484,163,48,6,180
0.28,0.8664987405541562,0.8716707021791767,0.9590531519135708,0.03225806451612903,0.22274881516587677,0.1275034398410029,164,47,6,180
0.29,0.8765743073047859,0.8801955990220048,0.9590531519135708,0.03225806451612903,0.2037914691943128,0.11802476685522091,168,43,6,180
0.3,0.8765743073047859,0.8790123456790123,0.9590531519135708,0.043010752688172046,0.1943127962085308,0.11866177444835144,170,41,8,178
0.31,0.8765743073047859,0.8790123456790123,0.9590531519135708,0.043010752688172046,0.1943127962085308,0.11866177444835144,170,41,8,178
0.32,0.8740554156171285,0.8762376237623762,0.9590531519135708,0.04838709677419355,0.1943127962085308,0.12134994649136219,170,41,9,177
0.33,0.8765743073047859,0.8778054862842892,0.9590531519135708,0.053763440860215055,0.1848341232227488,0.11929878204148193,172,39,10,176
0.34,0.8765743073047859,0.8771929824561403,0.9590531519135708,0.05913978494623656,0.18009478672985782,0.11961728583804719,173,38,11,175
0.35,0.8841309823677582,0.8838383838383839,0.9590531519135708,0.05913978494623656,0.16587677725118483,0.1125082810987107,176,35,11,175
0.36,0.8790931989924433,0.8781725888324873,0.9590531519135708,0.06989247311827956,0.16587677725118483,0.1178846251847322,176,35,13,173
0.37,0.8816120906801007,0.8804071246819338,0.9590531519135708,0.06989247311827956,0.16113744075829384,0.1155149569382867,177,34,13,173
0.38,0.8790931989924433,0.8775510204081632,0.9590531519135708,0.07526881720430108,0.16113744075829384,0.11820312898129745,177,34,14,172
0.39,0.8790931989924433,0.8769230769230769,0.9590531519135708,0.08064516129032258,0.15639810426540285,0.1185216327778627,178,33,15,171
0.4,0.8790931989924433,0.8769230769230769,0.9590531519135708,0.08064516129032258,0.15639810426540285,0.1185216327778627,178,33,15,171
0.41,0.8790931989924433,0.8756476683937824,0.9590531519135708,0.0913978494623656,0.14691943127962084,0.11915864037099322,180,31,17,169
0.42,0.8790931989924433,0.875,0.9590531519135708,0.0967741935483871,0.14218009478672985,0.11947714416755847,181,30,18,168
0.43,0.8816120906801007,0.8772845953002611,0.9590531519135708,0.0967741935483871,0.13744075829383887,0.11710747592111298,182,29,18,168
0.44,0.8816120906801007,0.8766404199475065,0.9590531519135708,0.10215053763440861,0.13270142180094788,0.11742597971767824,183,28,19,167
0.45,0.8816120906801007,0.8766404199475065,0.9590531519135708,0.10215053763440861,0.13270142180094788,0.11742597971767824,183,28,19,167
0.46,0.8790931989924433,0.873015873015873,0.9590531519135708,0.11290322580645161,0.12796208530805686,0.12043265555725424,184,27,21,165
0.47,0.8765743073047859,0.870026525198939,0.9590531519135708,0.11827956989247312,0.12796208530805686,0.12312082760026499,184,27,22,164
0.48,0.8740554156171285,0.8670212765957447,0.9590531519135708,0.12365591397849462,0.12796208530805686,0.12580899964327574,184,27,23,163
0.49,0.871536523929471,0.864,0.9590531519135708,0.12903225806451613,0.12796208530805686,0.1284971716862865,184,27,24,162
0.5,0.8765743073047859,0.8679245283018868,0.9590531519135708,0.13440860215053763,0.11374407582938388,0.12407633898996076,187,24,25,161
0.51,0.871536523929471,0.8617886178861789,0.9590531519135708,0.14516129032258066,0.11374407582938388,0.12945268307598226,187,24,27,159
