threshold,Accuracy,F1,AUC,APCER,BPCER,ACER,TN,FP,FN,TP
0.7,0.9201934703748489,0.9164556962025316,0.986846414785355,0.12771084337349398,0.03155339805825243,0.0796321207158732,399,13,53,362
0.71,0.9201934703748489,0.916243654822335,0.986846414785355,0.13012048192771083,0.02912621359223301,0.07962334775997193,400,12,54,361
0.72,0.9189842805320435,0.9146496815286624,0.986846414785355,0.13493975903614458,0.02669902912621359,0.08081939408117908,401,11,56,359
0.73,0.9177750906892382,0.9130434782608695,0.986846414785355,0.13975903614457832,0.024271844660194174,0.08201544040238624,402,10,58,357
0.74,0.9177750906892382,0.9128205128205128,0.986846414785355,0.14216867469879518,0.021844660194174758,0.08200666744648497,403,9,59,356
0.75,0.9165659008464329,0.9114249037227214,0.986846414785355,0.14457831325301204,0.021844660194174758,0.0832114867235934,403,9,60,355
0.76,0.9129383313180169,0.9072164948453608,0.986846414785355,0.15180722891566265,0.021844660194174758,0.0868259445549187,403,9,63,352
0.77,0.9117291414752116,0.9055627425614489,0.986846414785355,0.1566265060240964,0.019417475728155338,0.08802199087612586,404,8,65,350
0.78,0.909310761789601,0.9027237354085603,0.986846414785355,0.1614457831325301,0.019417475728155338,0.09043162943034272,404,8,67,348
0.79,0.909310761789601,0.9024707412223667,0.986846414785355,0.163855421686747,0.01699029126213592,0.09042285647444145,405,7,68,347
0.8,0.9081015719467956,0.9010416666666666,0.986846414785355,0.16626506024096385,0.01699029126213592,0.09162767575154988,405,7,69,346
0.81,0.9032648125755743,0.8952879581151832,0.986846414785355,0.17590361445783131,0.01699029126213592,0.09644695285998361,405,7,73,342
0.82,0.9020556227327691,0.8938401048492791,0.986846414785355,0.1783132530120482,0.01699029126213592,0.09765177213709206,405,7,74,341
0.83,0.8996372430471584,0.8903566710700133,0.986846414785355,0.18795180722891566,0.012135922330097087,0.10004386477950637,407,5,78,337
0.84,0.898428053204353,0.8885941644562334,0.986846414785355,0.1927710843373494,0.009708737864077669,0.10123991110071354,408,4,80,335
0.85,0.8948004836759371,0.8841544607190412,0.986846414785355,0.2,0.009708737864077669,0.10485436893203884,408,4,83,332
0.86,0.8911729141475212,0.8796791443850267,0.986846414785355,0.20722891566265061,0.009708737864077669,0.10846882676336414,408,4,86,329
0.87,0.8827085852478839,0.8690958164642375,0.986846414785355,0.22409638554216868,0.009708737864077669,0.11690256170312317,408,4,93,322
0.88,0.8778718258766627,0.8629579375848032,0.986846414785355,0.23373493975903614,0.009708737864077669,0.1217218388115569,408,4,97,318
0.89,0.8706166868198307,0.853625170998632,0.986846414785355,0.24819277108433735,0.009708737864077669,0.1289507544742075,408,4,103,312
0.9,0.8681983071342201,0.8500687757909215,0.986846414785355,0.25542168674698795,0.007281553398058253,0.1313516200725231,409,3,106,309
0.91,0.8681983071342201,0.8500687757909215,0.986846414785355,0.25542168674698795,0.007281553398058253,0.1313516200725231,409,3,106,309
0.92,0.8621523579201935,0.8421052631578947,0.986846414785355,0.2674698795180723,0.007281553398058253,0.13737571645806526,409,3,111,304
0.93,0.8561064087061668,0.8335664335664336,0.986846414785355,0.2819277108433735,0.0048543689320388345,0.14339103988770616,410,2,117,298
0.94,0.8391777509068924,0.8102710413694721,0.986846414785355,0.3156626506024096,0.0048543689320388345,0.16025850976722422,410,2,131,284
0.95,0.8198307134220073,0.7824817518248175,0.986846414785355,0.3542168674698795,0.0048543689320388345,0.17953561820095917,410,2,147,268
0.96,0.8053204353083434,0.7600596125186289,0.986846414785355,0.3855421686746988,0.0024271844660194173,0.19398467657035912,411,1,160,255
0.97,0.7750906892382105,0.7120743034055728,0.986846414785355,0.4457831325301205,0.0024271844660194173,0.22410515849806995,411,1,185,230
0.98,0.7267230955259976,0.6258278145695364,0.986846414785355,0.5445783132530121,0.0,0.27228915662650605,412,0,226,189
0.99,0.626360338573156,0.4069097888675624,0.986846414785355,0.744578313253012,0.0,0.372289156626506,412,0,309,106
